,trade_id,asset,dt_enter,dt_exit,success,n,rtn
390,1,IVV,2020-01-03,2020-01-08,1,4,0.002487122999963159
4,2,IVV,2020-01-06,,0,3,
5,3,IVV,2020-01-07,,0,3,
6,4,IVV,2020-01-08,,0,3,
7,5,IVV,2020-01-09,,0,3,
8,6,IVV,2020-01-10,,0,3,
9,7,IVV,2020-01-13,,0,3,
10,8,IVV,2020-01-14,,0,3,
11,9,IVV,2020-01-15,,0,3,
12,10,IVV,2020-01-16,,0,3,
13,11,IVV,2020-01-17,,0,3,
14,12,IVV,2020-01-21,,0,3,
655,13,IVV,2020-01-22,2020-01-30,-1,7,-0.00015618968187678964
656,14,IVV,2020-01-23,2020-01-30,-1,6,-0.00021763009018898404
657,15,IVV,2020-01-24,2020-01-30,-1,5,-0.0005098482321654165
658,16,IVV,2020-01-27,2020-01-31,-1,5,-0.0022701998676097554
15,17,IVV,2020-01-28,,0,3,
391,18,IVV,2020-01-29,2020-01-30,1,2,0.004974403928534575
392,19,IVV,2020-01-30,2020-02-04,1,4,0.002488954375542437
393,20,IVV,2020-01-31,2020-02-04,1,3,0.003318802930186403
16,21,IVV,2020-02-03,,0,3,
17,22,IVV,2020-02-04,,0,3,
18,23,IVV,2020-02-05,,0,3,
19,24,IVV,2020-02-06,,0,3,
20,25,IVV,2020-02-07,,0,3,
21,26,IVV,2020-02-10,,0,3,
22,27,IVV,2020-02-11,,0,3,
23,28,IVV,2020-02-12,,0,3,
24,29,IVV,2020-02-13,,0,3,
25,30,IVV,2020-02-14,,0,3,
659,31,IVV,2020-02-18,2020-02-26,-1,7,-0.010034673707345
660,32,IVV,2020-02-19,2020-02-27,-1,7,-0.009693807063024603
661,33,IVV,2020-02-20,2020-02-26,-1,5,-0.023813101777257435
662,34,IVV,2020-02-21,2020-02-27,-1,5,-0.02299712661363213
663,35,IVV,2020-02-24,2020-02-28,-1,5,-0.022810998749950455
664,36,IVV,2020-02-25,2020-03-02,-1,5,-0.006460251972803158
394,37,IVV,2020-02-26,2020-03-03,1,5,0.0019901935227070087
395,38,IVV,2020-02-27,2020-03-03,1,4,0.0024893405819114887
396,39,IVV,2020-02-28,2020-03-02,1,2,0.004979852739300795
26,40,IVV,2020-03-02,,0,3,
397,41,IVV,2020-03-03,2020-03-04,1,2,0.004970332508613148
665,42,IVV,2020-03-04,2020-03-12,-1,7,-0.011460599881593996
666,43,IVV,2020-03-05,2020-03-11,-1,5,-0.0448856146013133
667,44,IVV,2020-03-06,2020-03-12,-1,5,-0.03777747165317917
668,45,IVV,2020-03-09,2020-03-13,-1,5,-0.01704659197292057
398,46,IVV,2020-03-10,2020-03-11,1,2,0.00497425557553575
669,47,IVV,2020-03-11,2020-03-17,-1,5,-0.023094034158063256
670,48,IVV,2020-03-12,2020-03-18,-1,5,-0.024588709764333725
399,49,IVV,2020-03-13,2020-03-17,1,3,0.003310483407180712
671,50,IVV,2020-03-16,2020-03-20,-1,5,-0.0301938196229321
400,51,IVV,2020-03-17,2020-03-18,1,2,0.004980996364373868
672,52,IVV,2020-03-18,2020-03-24,-1,5,-0.00558265311305787
401,53,IVV,2020-03-19,2020-03-19,1,1,0.009960283214531773
402,54,IVV,2020-03-20,2020-03-24,1,3,0.0033217348461321884
403,55,IVV,2020-03-23,2020-03-24,1,2,0.004978410223822016
27,56,IVV,2020-03-24,,0,3,
404,57,IVV,2020-03-25,2020-03-25,1,1,0.00993324741153754
28,58,IVV,2020-03-26,,0,3,
405,59,IVV,2020-03-27,2020-03-30,1,2,0.004979930076692066
406,60,IVV,2020-03-30,2020-04-06,1,6,0.0016603552875421098
407,61,IVV,2020-03-31,2020-04-06,1,5,0.001992048341011043
408,62,IVV,2020-04-01,2020-04-06,1,4,0.002489324340227049
29,63,IVV,2020-04-02,,0,3,
409,64,IVV,2020-04-03,2020-04-06,1,2,0.00497397759144128
30,65,IVV,2020-04-06,,0,3,
31,66,IVV,2020-04-07,,0,3,
32,67,IVV,2020-04-08,,0,3,
33,68,IVV,2020-04-09,,0,3,
410,69,IVV,2020-04-13,2020-04-14,1,2,0.004969253390161564
34,70,IVV,2020-04-14,,0,3,
411,71,IVV,2020-04-15,2020-04-17,1,3,0.0033170110335352405
35,72,IVV,2020-04-16,,0,3,
412,73,IVV,2020-04-17,2020-04-22,1,4,0.002485350739825679
673,74,IVV,2020-04-20,2020-04-24,-1,5,-0.0005627861610132892
413,75,IVV,2020-04-21,2020-04-23,1,3,0.0033210256681205827
36,76,IVV,2020-04-22,,0,3,
37,77,IVV,2020-04-23,,0,3,
38,78,IVV,2020-04-24,,0,3,
39,79,IVV,2020-04-27,,0,3,
40,80,IVV,2020-04-28,,0,3,
414,81,IVV,2020-04-29,2020-05-05,1,5,0.001991671145497464
674,82,IVV,2020-04-30,2020-05-06,-1,5,-0.0041219972662702616
675,83,IVV,2020-05-01,2020-05-07,-1,5,0.000263486378422908
415,84,IVV,2020-05-04,2020-05-04,1,1,0.009961265657220855
41,85,IVV,2020-05-05,,0,3,
42,86,IVV,2020-05-06,,0,3,
43,87,IVV,2020-05-07,,0,3,
44,88,IVV,2020-05-08,,0,3,
416,89,IVV,2020-05-11,2020-05-18,1,6,0.0016610579807307642
417,90,IVV,2020-05-12,2020-05-18,1,5,0.001993337846508786
418,91,IVV,2020-05-13,2020-05-18,1,4,0.002491061603386924
419,92,IVV,2020-05-14,2020-05-14,1,1,0.00996059602921338
420,93,IVV,2020-05-15,2020-05-15,1,1,0.009948232146076505
45,94,IVV,2020-05-18,,0,3,
421,95,IVV,2020-05-19,2020-05-20,1,2,0.0049738141227109785
